episode,eps,throughput,collision_rate,avg_reward_per_agent,avg_energy_per_agent
100,0.818566804688428,0.0,0.0,-0.011754083217980224,0.0018220000858030592
200,0.670051613737823,0.0,0.0,-0.011102416594910514,0.0011978333889273926
300,0.5484820084336942,0.0,0.0,-0.010937499940797958,0.0010091667136099811
400,0.4489691650726603,0.0,0.0,-0.011880749873128177,0.00199616657141208
500,0.36751125485715885,0.0,0.0,-0.011068499929451112,0.001176833388803061
600,0.3008325135754587,0.25483333333333336,0.0,0.049263708154583585,0.004517541632521898
700,0.24625150938385126,0.25783333333333336,0.0,0.048369333288642034,0.006366499809043792
800,0.20157331118604155,0.25433333333333336,0.0,0.04923004150849496,0.0046541247539183435
900,0.1650012212480241,0.32216666666666666,0.17316666666666666,0.012488043737209712,0.011189874696661719
1000,0.13506452244668335,0.24833333333333332,0.0033333333333333335,0.04335012493939818,0.008071124609249334
1100,0.11055933456595012,0.23883333333333334,0.0,0.0408332914376903,0.00883837434957968
1200,0.09050020122412858,0.3933333333333333,0.0,0.07029833269000423,0.011627916111028752
1300,0.07408046053969458,0.2825,0.0026666666666666666,0.05217779139592312,0.005383041342526364
1400,0.06063980587382501,0.3268333333333333,0.20633333333333334,0.0006813357377104694,0.014627416261937469
1500,0.05,0.39166666666666666,0.0,0.06978037436462667,0.011773790883870485
1600,0.05,0.3865,0.0,0.07539404119189809,0.007268457885850997
1700,0.05,0.3825,0.0045,0.07320870795736846,0.007568791248699806
1800,0.05,0.3115,0.16166666666666665,0.0027181268382555574,0.010258958106181429
1900,0.05,0.3795,0.0,0.07433895786877838,0.00694729122092637
2000,0.05,0.27216666666666667,0.0,0.04331308290634479,0.010678165968003061
2100,0.05,0.0,0.0033333333333333335,-0.012521708207646346,0.0022117084228860523
2200,0.05,0.2771666666666667,0.005333333333333333,0.044087874627720645,0.010852957564755343
2300,0.05,0.3863333333333333,0.0,0.07588299952885912,0.007030333068978507
2400,0.05,0.38083333333333336,0.0,0.07423291617485422,0.006877916394286634
2500,0.05,0.28583333333333333,0.002,0.05374712473898641,0.005317041345794375
2600,0.05,0.3725,0.008666666666666666,0.07051999967351245,0.007056666477893789
2700,0.05,0.27566666666666667,0.0,0.044708041213452815,0.010206540900787028
2800,0.05,0.3175,0.18066666666666667,0.009323043811299916,0.010971957997205512
2900,0.05,0.3135,0.1835,0.007898502209432385,0.01108566654434738
3000,0.05,0.3923333333333333,0.0,0.07055745770321421,0.011502124427235685
